ID,thezone,areax,areay,gcs
1,00,00,00,0201011016::
2,01,00,00,0201011016::0201011116::
3,02,00,00,0200010701::0200010801::0200010901::0200011001::0200011101::0200011201::0200011301::0200011401::0200011501::0200011601::0200011701::0200011801::0200011901::0200012001::0200012101::0200012201::0201000108::0201000109::0201000110::0201000111::0201000112::0201000113::0201000114::0201000115::0201000117::0201000118::0201000119::0201000120::0201000121::0201000122::
4,02,00,01,0200020601::0200000722::0200020701::0200000822::0200020801::0200000922::0200020901::0200001022::0200021001::0200001122::0200021101::0200001222::0200021201::0200001322::0200021301::0200001422::0200021401::0200001522::0200021501::0200001622::0200021601::0200001722::0200021701::0200001822::0200021801::0200001922::0200021901::0200002022::0200022001::0200002122::0200022101::0200002222::0200022201::0201010106::0201010107::0201010108::0201010109::0201010110::0201010111::0201010112::0201010113::0201010114::0201010115::0201010116::0201010117::0201010118::0201010119::0201010120::0201010121::0201010122::
5,02,00,02,0200010622::0200010722::0200010822::0200010922::0200011022::0200011122::0200011222::0200011322::0200011422::0200011522::0200011622::0200011722::0200011822::0200011922::0200012022::0200012122::0200012222::0201020101::0201020102::0201020103::0201020104::0201020105::0201020106::0201020107::0201020108::0201020109::0201020110::0201020111::0201020112::0201020113::0201020114::0201020115::0201020116::0201020117::
6,02,01,00,0200002208::0200002209::0200002210::0200002211::0200002212::0200002213::0200002214::0200002215::0200002216::0200002218::0200002219::0200002220::0200002221::0200002222::0201010701::0201010801::0201010901::0201011001::0201011101::0201011201::0201011301::0201011401::0201011501::0201011601::0201011701::0201011801::0201011901::0201012001::0201012101::0201012201::0202000105::0202000106::0202000107::0202000109::0202000114::0202000115::0202000116::0202000117::0202000118::0202000119::0202000120::0202000121::0202000122::
7,02,01,01,0200012206::0200012207::0200012208::0200012209::0200012210::0200012211::0200012212::0200012213::0200012214::0200012215::0200012216::0200012217::0200012218::0200012219::0200012220::0200012221::0200012222::0201020101::0201020201::0201020301::0201020401::0201020501::0201020601::0201000722::0201020701::0201000822::0201020801::0201000922::0201020901::0201001022::0100001118::0201021001::0201001122::0100001218::0201021101::0201001222::0201021201::0201001322::0201021301::0201001422::0201021401::0201001522::0201021501::0201001622::0201021601::0201001722::0201021701::0201001822::0201021801::0201001922::0201021901::0201002022::0201022001::0201002122::0201022101::0201002222::0201022201::0202010101::0202010102::0202010103::0202010104::0202010105::0202010106::0202010112::0202010113::0202010114::0202010115::0202010116::0202010117::0202010118::0202010119::0202010120::0202010121::0202010122::
8,02,01,02,0200022201::0200022202::0200022203::0200022204::0200022205::0200022206::0200022207::0200022208::0200022209::0200022210::0200022211::0200022212::0200022213::0200022214::0200022215::0200022216::0200022217::0201010122::0201010222::0201010322::0201010422::0201010522::0201010622::0201010722::0201010822::0201010922::0201011022::0201011122::0201011222::0201011322::0201011422::0201011522::0201011622::0201011722::0201011822::0201011922::0201012022::0201012122::0201012222::0202020101::0202020102::0202020103::0202020104::0202020105::0202020106::0202020107::0202020108::0202020109::0202020110::0202020111::0202020112::0202020113::0202020114::0202020115::0202020116::
9,02,02,00,0201002205::0201002206::0201002207::0201002209::0201002214::0201002215::0201002216::0201002217::0201002218::0201002219::0201002220::0201002221::0201002222::0202010101::0202010701::0202011301::0202011401::
10,02,02,01,0201012201::0201012202::0201012203::0201012204::0201012205::0201012206::0201012212::0201012213::0201012214::0201012215::0201012216::0201012217::0201012218::0201012219::0201012220::0201012221::0201012222::0202000122::0202020101::0202020201::0202020301::0202020401::0202020501::0202020601::0202000722::0202020701::0202020801::0202020901::0202021001::0202021101::0202021201::0202001322::0202021301::0202001422::0202021401::
11,02,02,02,0201022201::0201022202::0201022203::0201022204::0201022205::0201022206::0201022207::0201022208::0201022209::0201022210::0201022211::0201022212::0201022213::0201022214::0201022215::0201022216::0202010122::0202010222::0202010322::0202010422::0202010522::0202010622::0202010722::0202010822::0202010922::0202011022::0202011122::0202011222::0202011322::0202011422::
